website,title,street address,phone,link,location
"http://JobRevenue.com/?ref=29651&utm_source=localsaver,http://JobRevenue.com/?ref=29651&utm_source=localsaver",automotive repairs,Northeast Ext 367,"(205) 564-2066,(205) 564-2066",https://www.localsaver.com/10001/automotive-repairs?dsc=MYDS&bizid=52045539,ossining
"https://www.sarahomestay.com/?utm_source=localsaver,https://www.sarahomestay.com/?utm_source=localsaver",SARA HOMESTAY,,"(321) 446-1598,(321) 446-1598",https://www.localsaver.com/10001/sara-homestay?dsc=MYDS&bizid=52045492,
"https://jmackienyc.wordpress.com/?utm_source=localsaver,https://jmackienyc.wordpress.com/?utm_source=localsaver","Clear Mind, Better Life",,"(917) 952-9180,(917) 952-9180",https://www.localsaver.com/10001/clear-mind-better-life?dsc=MYDS&bizid=52037892,
,Eat Real,1185 Broadway,"(718) 812-5022,(718) 812-5022",https://www.localsaver.com/10001/eat-real?dsc=RSTRT&bizid=273458,New York
"http://Riccardomaggiore.com?utm_source=localsaver,http://Riccardomaggiore.com?utm_source=localsaver",Riccardo Maggiore salon,226 fifth ave,"(212) 448-0600,(212) 448-0600",https://www.localsaver.com/10001/riccardo-maggiore-salon?dsc=MYDS&bizid=52043260,New York
"http://www.mybenefitsplus.com/freedomwings?utm_source=localsaver,http://www.mybenefitsplus.com/freedomwings?utm_source=localsaver",FreedomWings,,"(478) 247-3877,(478) 247-3877",https://www.localsaver.com/10001/freedomwings?dsc=MYDS&bizid=52042616,
"http://tracking.groupon.com/r?tsToken=US_AFF_0_201747_212556_0&url=https%3A%2F%2Fwww.groupon.com%2Fdeals%2Forganic-element-spa-ny-6%3Fz%3Dskip%26utm_medium%3Dafl%26utm_campaign%3D201747%26mediaId%3D212556%26utm_source%3DGPN&utm_source=localsaver,http://tracking.groupon.com/r?tsToken=US_AFF_0_201747_212556_0&url=https%3A%2F%2Fwww.groupon.com%2Fdeals%2Forganic-element-spa-ny-6%3Fz%3Dskip%26utm_medium%3Dafl%26utm_campaign%3D201747%26mediaId%3D212556%26utm_source%3DGPN&utm_source=localsaver",Organic Element Spa NY,224 W 35th St,"(212) 789-9002,(212) 789-9002",https://www.localsaver.com/10001/organic-element-spa-ny?dsc=GPNDL&bizid=44EA73F20146BB86EA982BE0DD7E80EA,New York
"http://tracking.groupon.com/r?tsToken=US_AFF_0_201747_212556_0&url=https%3A%2F%2Fwww.groupon.com%2Fdeals%2Fmega-elite-fitness-2%3Fz%3Dskip%26utm_medium%3Dafl%26utm_campaign%3D201747%26mediaId%3D212556%26utm_source%3DGPN&utm_source=localsaver,http://tracking.groupon.com/r?tsToken=US_AFF_0_201747_212556_0&url=https%3A%2F%2Fwww.groupon.com%2Fdeals%2Fmega-elite-fitness-2%3Fz%3Dskip%26utm_medium%3Dafl%26utm_campaign%3D201747%26mediaId%3D212556%26utm_source%3DGPN&utm_source=localsaver",Mega Elite Fitness,235 West 29th Street,"(347) 393-2065,(347) 393-2065",https://www.localsaver.com/10001/mega-elite-fitness?dsc=GPNDL&bizid=3BF457CB59372BB6403DB94313A4ECFF,New York
"http://bhbcleaning.com?utm_source=localsaver,http://bhbcleaning.com?utm_source=localsaver",Better Homes & Business Cleaning Service,,"(212) 203-9136,(212) 203-9136",https://www.localsaver.com/10001/better-homes-business-cleaning-service?dsc=MYDS&bizid=52025494,
"http://www.midtownlivenyc.com?utm_source=localsaver,http://www.midtownlivenyc.com?utm_source=localsaver",Midtown Live,251 West 30th Street,"(212) 695-8970,(212) 695-8970",https://www.localsaver.com/10001/midtown-live?dsc=MYDS&bizid=52026826,New York
